condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index,n_information_permutations,state_path,rng_state_path,state_hash,trajectory_hash,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
control,0.2,0,control_p0.2_r00,3314782565,3449865665,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_00.npz,results/phase4_core/states/control/p0.2/rep_00.rng.json,f29732cd82d13ccc4c255ab0b66422480a9167d3667e68a2110af010d2d88015,8c27beb1a790eb44f0968feac78bc68ffd3ca295df67de6f93f2d63fdc6ee90f,27.21640625,0.06699112794086293,0.0669247334072133,0.28710781515136896,0.2856861551410636,0.0027141958828564173,0.001421660010305359
control,0.2,1,control_p0.2_r01,2238472981,92076203,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_01.npz,results/phase4_core/states/control/p0.2/rep_01.rng.json,267ace0aff15417aaf11a89d73a49d6c4a2a39a202c58035c14c3bf45fef5324,c591d549592f998fd8496f1ea3b522348b052f80fd1fce8a8307a39afe7f3997,27.58203125,0.0660597847592741,0.06897446136597771,0.2864371703881275,0.28561262495668344,0.0025741787750193966,0.000824545431444057
control,0.2,2,control_p0.2_r02,3486582719,1935359436,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_02.npz,results/phase4_core/states/control/p0.2/rep_02.rng.json,4f4718a0c54e67adb823be51996784475271044b13ea132fa516db4179d2304e,e93ddde2d4910fe62d0b56ad23c53c44625b27eb3e4d75640eead75b63b5a330,27.259375,0.06823160609700238,0.07239148760157724,0.2861076817069148,0.2854913414255702,0.0026890519177133073,0.0006163402813446073
control,0.2,3,control_p0.2_r03,1730430674,338399460,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_03.npz,results/phase4_core/states/control/p0.2/rep_03.rng.json,b1ec5aa1ad5037bec0c70b7eef39f4f932f738ee6bfec2f4589ea0ce139aa233,d80c840dcd3d96d9a0b9c8ec7a23270f7c824308d2bf7de141eb477f755e40e1,27.403125,0.06598548242568719,0.06981696864522374,0.29198218465189746,0.2856648172348741,0.002799862509574674,0.0063173674170233785
control,0.2,4,control_p0.2_r04,3783757707,4224326616,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_04.npz,results/phase4_core/states/control/p0.2/rep_04.rng.json,8e54227823bae47d72d426c68fb02212e4e4bd2b6a50def8a294d26f3ac3b3f4,a0468c5259741b7174ecb2e5208013d556dc4fba6d6603bec355c638cc001f11,26.94765625,0.06408911068102134,0.06805620900396356,0.28740727888166007,0.2853220057352661,0.002847760792347406,0.002085273146393951
control,0.2,5,control_p0.2_r05,1686373950,4029174348,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_05.npz,results/phase4_core/states/control/p0.2/rep_05.rng.json,364f2a736a8f189983db098d342805eba67d38633919860b771bfd16ceb53973,f11a7815a8f94fc1ac6553ffb9c89f0503b89d1af7fdbc66354ba6597858570e,26.91640625,0.0626147276640085,0.06209598083544017,0.2882210329599962,0.286032748290565,0.00289544663937502,0.002188284669431162
control,0.2,6,control_p0.2_r06,1426993073,1530941573,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_06.npz,results/phase4_core/states/control/p0.2/rep_06.rng.json,8877276217a78b06e28cccbd6f0bb4c962507eee4a8df986b7b6590d78a9df04,047773a268f6c311403bf559f3f3e21a3ef1ac02ea6b7f10720d94847ae4c64a,26.31875,0.06266723696335288,0.06712864295066757,0.28402156743110435,0.2855039214568077,0.0025601649784972045,-0.0014823540257033474
control,0.2,7,control_p0.2_r07,1711189001,2619048119,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_07.npz,results/phase4_core/states/control/p0.2/rep_07.rng.json,b930f0f47d76916c3b5c906a2699a4e7d88f410d506b53f3a345fe2cab6e2980,7b421fc24ca5b46b6fcbd0fd916691d3d9a0855a79aa539830cd24917945b61e,27.23046875,0.06091657479323658,0.06595098803954896,0.2849012120413732,0.28601844848322755,0.0027906718539637276,-0.0011172364418543523
control,0.2,8,control_p0.2_r08,2814663107,825382504,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_08.npz,results/phase4_core/states/control/p0.2/rep_08.rng.json,4c93dd7526e4566b8142ac4e4094967c83eb44c031a62a0fde2aa96a6ac6f79a,b1a3dc1418af3d7535832b3861d4c2c5538556976984d8660bc867524f3a88da,27.24921875,0.06694379416343639,0.06863909318172054,0.285087727647132,0.2849596399689354,0.0028383391203382177,0.00012808767819660893
control,0.2,9,control_p0.2_r09,948260613,2501008533,2026073104,0,200,results/phase4_core/states/control/p0.2/rep_09.npz,results/phase4_core/states/control/p0.2/rep_09.rng.json,3b4427dd8843f19b886282f1c7ed85b8ba1612ffd75096edbb3f358e852c1edc,975ad3d172105ab380767a8dae87c796b66c93a4029bb3a32cc0be532d7cbd3f,27.31171875,0.06586555397864595,0.07212001397619192,0.28308483403832907,0.2852910402086346,0.0028083776578385986,-0.002206206170305536
