control_family,seed_block,n_realizations,mean_value_of_information,mean_actual_viability,mean_constant_viability,n_target_reached,all_target_reached,semantic_information_if_all_reached,mean_semantic_lower_bound_among_censored,all_identity_information_recovered,all_identity_viability_recovered
alternative_b_native,13,1,12.27659505208333,40.13486328124999,27.85826822916666,1,True,0.3131883325113928,,True,True
alternative_b_native,14,1,10.654079861111114,38.447536892361114,27.79345703125,1,True,0.269742204796388,,True,True
alternative_b_native,15,1,11.130230034722217,39.042773437499996,27.91254340277778,1,True,0.2728991658540625,,True,True
alternative_b_native,16,1,13.58459201388888,41.430696614583326,27.846104600694446,1,True,0.2889877608364828,,True,True
alternative_b_native,17,1,11.670562065972234,39.529427083333346,27.85886501736111,1,True,0.2621640872412706,,True,True
alternative_b_native,18,1,10.185763888888886,38.07401258680555,27.888248697916666,1,True,0.2913119184712037,,True,True
alternative_b_native,19,1,14.722981770833336,42.66742621527778,27.944444444444443,1,True,0.325425887118407,,True,True
selection_neutral,0,1,7.055577256944439,34.19985894097222,27.14428168402778,1,True,0.2206638306463526,,True,True
selection_neutral,1,1,4.906521267361125,32.12114800347223,27.214626736111104,1,True,0.2722590590611975,,True,True
selection_neutral,2,1,5.177669270833327,32.447330729166666,27.26966145833334,1,True,0.2649463945281917,,True,True
selection_neutral,3,1,7.040407986111113,34.2166015625,27.17619357638889,1,True,0.2858351571800762,,True,True
selection_neutral,4,1,6.346397569444445,33.56252170138889,27.216124131944444,1,True,0.269882130563587,,True,True
selection_neutral,5,1,6.225423177083336,33.443782552083334,27.218359375,1,True,0.2700501370663554,,True,True
selection_neutral,6,1,6.610264756944439,33.78880208333332,27.178537326388884,1,True,0.2503965726923521,,True,True
selection_neutral,7,1,6.85152994791666,34.10220269097222,27.25067274305556,1,True,0.2860672976381943,,True,True
selection_neutral,8,1,4.114019097222226,31.347287326388894,27.23326822916667,1,True,0.2217825951619109,,True,True
selection_neutral,9,1,4.898817274305557,32.079839409722226,27.18102213541667,1,True,0.3144879577347162,,True,True
selection_neutral,10,1,3.125151909722227,30.241948784722226,27.116796875,1,True,0.2190309295524135,,True,True
selection_neutral,11,1,4.977007378472223,32.25161675347223,27.274609375000004,1,True,0.261866528900614,,True,True
selection_neutral,12,1,8.842274305555556,35.967838541666666,27.12556423611111,1,True,0.291972840280019,,True,True
selection_neutral,13,1,6.25544704861111,33.48726128472222,27.231814236111113,1,True,0.2535708332024616,,True,True
selection_neutral,14,1,5.35528428819444,32.501399739583334,27.146115451388894,1,True,0.2751353914764627,,True,True
selection_neutral,15,1,5.490961371527781,32.66713324652778,27.176171875,1,True,0.2703469878228376,,True,True
selection_neutral,16,1,5.507736545138883,32.67646484375,27.168728298611114,1,True,0.2390453563393253,,True,True
selection_neutral,17,1,3.3891927083333258,30.516720920138887,27.12752821180556,1,True,0.2377253333481498,,True,True
selection_neutral,18,1,8.165766059027781,35.341373697916666,27.175607638888884,1,True,0.2573250196598318,,True,True
selection_neutral,19,1,7.486697048611109,34.64660373263889,27.159906684027778,1,True,0.2742962591226066,,True,True
selection_reduced,0,1,8.401942274305561,35.54622395833334,27.14428168402778,1,True,0.2731597621913842,,True,True
selection_reduced,1,1,6.434874131944451,33.649500868055554,27.214626736111104,1,True,0.2356697225934788,,True,True
selection_reduced,2,1,7.045399305555556,34.315060763888894,27.26966145833334,1,True,0.2560138580365932,,True,True
selection_reduced,3,1,9.181944444444447,36.35813802083334,27.17619357638889,1,True,0.3114516213632786,,True,True
selection_reduced,4,1,9.29308810763889,36.509212239583334,27.216124131944444,1,True,0.2818322633553685,,True,True
selection_reduced,5,1,9.133420138888887,36.351779513888886,27.218359375,1,True,0.2809876784728526,,True,True
selection_reduced,6,1,7.239778645833347,34.41831597222223,27.178537326388884,1,True,0.2586820343150861,,True,True
selection_reduced,7,1,10.117903645833337,37.3685763888889,27.25067274305556,1,True,0.2700067712013656,,True,True
selection_reduced,8,1,6.736924913194443,33.97019314236111,27.23326822916667,1,True,0.2588789800635489,,True,True
selection_reduced,9,1,4.65933159722222,31.84035373263889,27.18102213541667,1,True,0.2535711300767569,,True,True
selection_reduced,10,1,6.034570312500001,33.1513671875,27.116796875,1,True,0.2419458952180397,,True,True
selection_reduced,11,1,7.848535156250001,35.123144531250006,27.274609375000004,1,True,0.2858203092981117,,True,True
selection_reduced,12,1,8.774663628472219,35.90022786458333,27.12556423611111,1,True,0.2518268146875794,,True,True
selection_reduced,13,1,10.484016927083324,37.71583116319444,27.231814236111113,1,True,0.2550433771934848,,True,True
selection_reduced,14,1,9.564572482638887,36.71068793402778,27.146115451388894,1,True,0.2450817664072277,,True,True
selection_reduced,15,1,7.358105468749997,34.53427734375,27.176171875,1,True,0.2640379104083726,,True,True
selection_reduced,16,1,12.581249999999997,39.74997829861111,27.168728298611114,1,True,0.302025739583574,,True,True
selection_reduced,17,1,7.650629340277767,34.77815755208333,27.12752821180556,1,True,0.2494631894791347,,True,True
selection_reduced,18,1,9.047037760416671,36.222645399305556,27.175607638888884,1,True,0.291450761641139,,True,True
selection_reduced,19,1,10.23366970486111,37.39357638888889,27.159906684027778,1,True,0.2923618051585922,,True,True
temporally_unstable,0,1,10.516666666666666,38.14051649305556,27.62384982638889,1,True,0.2601661387154764,,True,True
temporally_unstable,1,1,10.695269097222223,38.399197048611114,27.70392795138889,1,True,0.3233751925741425,,True,True
