source_file,condition,inherit_prob,replicate,baseline_replicate,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
results/phase4_core/baseline_information.csv,control,1.0,18,control_p1.0_r18,27.33515625,0.4733681426935933,1.863157163508274,0.0317355962582192,0.032500465169243,0.000973090600526,-0.0007648689110237
results/phase4_core/baseline_information.csv,control,1.0,19,control_p1.0_r19,26.66953125,0.4712864858484448,1.8676955139392877,0.0262287693874053,0.0261919969854108,0.0009929051081449,3.677240199446985e-05
results/phase4_core/baseline_information.csv,selective,0.1,0,selective_p0.1_r00,33.09375,0.262688851116958,0.0658905295109962,0.5096972275643125,0.2879591111350613,0.0027650670126462,0.2217381164292511
results/phase4_core/baseline_information.csv,selective,0.1,1,selective_p0.1_r01,32.921875,0.2579629700691057,0.0668725218438491,0.505955762879911,0.2883540588392357,0.0032637875961901,0.2176017040406752
results/phase4_core/baseline_information.csv,selective,0.1,2,selective_p0.1_r02,32.546875,0.2579129366135572,0.0650168185025283,0.503905155406701,0.2885038456813692,0.0028802252733153,0.2154013097253317
results/phase4_core/baseline_information.csv,selective,0.1,3,selective_p0.1_r03,32.9125,0.2572167302986182,0.067847370529895,0.5015382413926501,0.2882549164943274,0.0028563311637971,0.2132833248983227
results/phase4_core/baseline_information.csv,selective,0.1,4,selective_p0.1_r04,32.4328125,0.2558868741631406,0.0685870105929677,0.4985242810986259,0.2884955421738976,0.0031448492595792,0.2100287389247283
results/phase4_core/baseline_information.csv,selective,0.1,5,selective_p0.1_r05,33.33046875,0.2590952244048007,0.0685983567767871,0.4979909721627685,0.2880830084660283,0.0029832666226055,0.2099079636967402
results/phase4_core/baseline_information.csv,selective,0.1,6,selective_p0.1_r06,32.64765625,0.263960785535306,0.0676836823331066,0.5012791447814027,0.2882332563717673,0.0030701161496754,0.2130458884096354
results/phase4_core/baseline_information.csv,selective,0.1,7,selective_p0.1_r07,33.19375,0.2562108870852548,0.0667409741407806,0.5015560525297204,0.2881800482142994,0.0030248908965354,0.2133760043154209
results/phase4_core/baseline_information.csv,selective,0.1,8,selective_p0.1_r08,32.61953125,0.2570891997001953,0.0640455357835931,0.503325415226958,0.2880482747349979,0.0029519777317065,0.21527714049196
results/phase4_core/baseline_information.csv,selective,0.1,9,selective_p0.1_r09,33.20234375,0.2659928262649975,0.0651134409212676,0.5153760852187205,0.288417099422163,0.0028904258820215,0.2269589857965575
results/phase4_core/baseline_information.csv,selective,0.1,10,selective_p0.1_r10,32.72734375,0.2570095011168576,0.0653655079394212,0.5021310791825133,0.2880993999169485,0.0030595963248763,0.2140316792655648
results/phase4_core/baseline_information.csv,selective,0.1,11,selective_p0.1_r11,32.64765625,0.2648959254968098,0.0635192798495517,0.5118292585742626,0.2884943249509841,0.0030497745478504,0.2233349336232785
results/phase4_core/baseline_information.csv,selective,0.1,12,selective_p0.1_r12,32.41640625,0.2607245608294742,0.0677221670760703,0.5058065929463832,0.2881323950811708,0.0032989883340088,0.2176741978652123
